"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"a36898","DAL891  ","United States","1653417359","1653417366","-112.3325","34.9131","7543.8","FALSE","261.77","169.93","-11.05",NA,"7840.98",NA,"FALSE","0","4"
"acdfa3","ASA352  ","United States","1653417366","1653417366","-125.5265","50.3144","10668","FALSE","270.35","139.4","0",NA,"10782.3",NA,"FALSE","0","0"
"a928bc","N69DV   ","United States","1653417366","1653417366","-76.525","39.429","0","FALSE","0.51","90","0.65",NA,"53.34",NA,"FALSE","0","0"
"a4b21b","UAL1668 ","United States","1653417365","1653417366","-121.6023","36.3918","7269.48","FALSE","199.09","322.98","-13.98",NA,"7665.72","1357","FALSE","0","4"
"a22238","N23678  ","United States","1653417366","1653417366","-83.1823","42.7802","1501.14","FALSE","48.82","61","1.3",NA,"1562.1","1200","FALSE","0","0"
"ad19f2","SKW5127 ","United States","1653417366","1653417366","-107.3342","37.9642","9456.42","FALSE","224.33","54.05","0",NA,"9547.86","4110","FALSE","0","0"
"aa9300","UAL1736 ","United States","1653417365","1653417365","-112.9461","39.2027","10972.8","FALSE","229.53","253.6","0.33",NA,"11262.36","4417","FALSE","0","1"
"c047e7","CGBFY   ","Canada","1653417366","1653417366","-79.7787","43.3412","426.72","FALSE","47.69","23.52","-0.33",NA,"487.68","3216","FALSE","0","0"
"aaef67","","United States","1653417315","1653417329","-84.5707","30.6367","670.56","FALSE","51.45","348.47","2.6",NA,"579.12",NA,"FALSE","0","2"
"ac4970","RVF7006 ","United States","1653417318","1653417318","-167.7453","58.2634","7010.4","FALSE","108.14","47.51","0",NA,"6979.92",NA,"FALSE","0","0"
"a9b3fb","N724SC  ","United States","1653417175","1653417196","-118.5154","34.236","556.26","FALSE","38.12","93.09","-2.93",NA,"487.68",NA,"FALSE","0","0"
"a1fb3c","N227CH  ","United States","1653417366","1653417366","-78.825","35.2834","2080.26","FALSE","115.81","1.78","-0.33",NA,"2202.18",NA,"FALSE","0","2"
"a7e8bf","ASA151  ","United States","1653417259","1653417271","-154.0547","62.5031","10363.2","FALSE","229.32","302.73","0",NA,"10195.56",NA,"FALSE","0","0"
"ab032d","BL89E   ","United States","1653417167","1653417167","-87.9301","30.2399","1219.2","FALSE","33.07","195.33","7.8",NA,"1203.96",NA,"FALSE","0","0"
"aa0967","CFS8961 ","United States","1653417365","1653417366","-149.9771","61.1279","678.18","FALSE","57.11","215.84","4.88",NA,"685.8",NA,"FALSE","0","2"
"3945e9","XK205XG ","France","1653417283","1653417286","7.2485","43.54","1379.22","FALSE","110.58","113.58","3.58",NA,"1394.46",NA,"FALSE","0","1"
"a6eb12","LXJ545  ","United States","1653417366","1653417366","-82.5849","42.039","13723.62","FALSE","266.83","80.79","0.65",NA,"13997.94","5632","FALSE","0","1"
"a65ede","N5098Q  ","United States","1653416511","1653417252","-96.494","32.4885","1691.64","FALSE","77.15","119.13","3.58",NA,"1821.18",NA,"FALSE","0","0"
"aa56b6","UAL441  ","United States","1653417366","1653417367","-75.14","39.2309","9288.78","FALSE","234.26","198.43","6.5",NA,"9677.4","2606","FALSE","0","4"
"a57b4d","UAL2375 ","United States","1653417366","1653417366","-86.4579","41.4773","6682.74","FALSE","200.8","280.33","0",NA,"6934.2","2353","FALSE","0","1"
"adffa1","SULLY1  ","United States","1653417366","1653417366","-99.1824","29.2426","4152.9","FALSE","198.39","52.27","-28.29",NA,"4343.4",NA,"FALSE","0","0"
"abc6e0","GAJ858  ","United States","1653417366","1653417366","-85.1258","33.3298","2659.38","FALSE","155.08","11.87","-4.88",NA,"2804.16","1627","FALSE","0","2"
"4952c1","TAP552  ","Portugal","1653417268","1653417268","-9.1317","38.7715",NA,"TRUE","1.29","78.75",NA,NA,NA,NA,"FALSE","0","0"
"4952c2","TAP1357 ","Portugal","1653417366","1653417366","-0.6307","51.4611","1318.26","FALSE","130.14","255.58","6.83",NA,"1341.12","2020","FALSE","0","0"
"4952c3","TAP763  ","Portugal","1653417366","1653417366","2.8548","49.783","11582.4","FALSE","226.64","225.64","0",NA,"11635.74","0730","FALSE","0","0"
"4952c5","TAP947  ","Portugal","1653417366","1653417366","-8.0989","40.1212","10416.54","FALSE","230.48","232.62","-13.66",NA,"10789.92","5753","FALSE","0","0"
"4952c6","TAP1014 ","Portugal","1653417367","1653417367","-5.0685","39.9145","8290.56","FALSE","263.21","84.17","-18.53",NA,"8534.4","3343","FALSE","0","0"
"ac83aa","FTH905  ","United States","1653417353","1653417355","-99.7727","42.51","12496.8","FALSE","278.94","82.05","0",NA,"12656.82",NA,"FALSE","0","0"
"a0e250","AAL1785 ","United States","1653417366","1653417366","-95.98","32.6732","6408.42","FALSE","240.53","94.66","5.53",NA,"6637.02","6231","TRUE","0","1"
"4b180c","SWR212L ","Switzerland","1653417359","1653417364","8.5597","47.4504",NA,"TRUE","0","5.62",NA,NA,NA,NA,"FALSE","0","0"
"407a05","EZY31CQ ","United Kingdom","1653417366","1653417366","13.3575","48.698","11277.6","FALSE","233.59","122.96","-0.33",NA,"11490.96","4710","FALSE","0","0"
"ac2320","N881SD  ","United States","1653417366","1653417366","-117.0218","32.6955","365.76","FALSE","47.69","113.52","-1.95",NA,"312.42",NA,"FALSE","0","0"
"a2ded8","SWA391  ","United States","1653417366","1653417366","-99.5279","40.6285","11887.2","FALSE","246.29","81.11","0.33",NA,"12062.46","6707","FALSE","0","0"
"a48850","UPS285  ","United States","1653417366","1653417366","11.0909","60.1466","1188.72","FALSE","99.36","195.62","15.28",NA,"1112.52",NA,"FALSE","0","0"
"ad694c","SWA924  ","United States","1653417327","1653417327","-97.6579","30.2035","205.74","FALSE","73.58","178.8","-3.58",NA,"144.78","2560","FALSE","0","0"
"ab63d7","DAL1908 ","United States","1653417366","1653417366","-72.7947","39.975","6454.14","FALSE","223.76","160.11","7.8",NA,"6705.6","7113","FALSE","0","4"
"ad561c","CNS603  ","United States","1653417363","1653417363","-72.2232","41.6163","2484.12","FALSE","124.48","244.28","-0.33",NA,"2583.18",NA,"FALSE","0","0"
"ad561e","CTF959  ","United States","1653417366","1653417366","-88.7923","40.2115","13106.4","FALSE","179.6","268.52","0",NA,"13426.44","6360","FALSE","0","0"
"aa69e0","N770JS  ","United States","1653417366","1653417366","-90.0118","29.643","4922.52","FALSE","147.68","124.35","13.66",NA,"5120.64",NA,"FALSE","0","0"
